"TOA5","Fluxtower CR3000","CR3000","3500","CR3000.Std.11","CPU:OzFlux_QUT_2010_11_09.CR3","12231","slow_core"
"TIMESTAMP","RECORD","Fsd_CNR1_Avg","Fsu_CNR1_Avg","Fld_CNR1_Avg","Flu_CNR1_Avg","Fn_NRL_Avg","Fg_CN3_01_Avg","Fh_Avg","Fe_raw_Avg","Fc_raw_Avg","Fm_Avg","Cc_7500_Avg","Ah_7500_Avg","ps_7500_Avg","Ux_CSAT_Avg","Uy_CSAT_Avg","Uz_CSAT_Avg","Tv_CSAT_Avg","Ta_HMP_01_Avg","RH_HMP_01_Avg","Ts_TCAV_01_Avg","Sws_616_01_raw_Avg","Rain_Tot"
"TS","RN","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","mg/m^2/s","kg/m/s^2","mg/m^3","g/m^3","kPa","m/s","m/s","m/s","C","C","fraction","C","ms","mm"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot"
"2013-01-17 05:00:00",28253,-0.7893451,1.238743,372.478,383.3976,-30.69616,-12.49034,-0.883544,-2.124511,0.02252953,0.01488764,867.3505,10.12461,100.5079,-0.06567346,-0.08362681,0.01015657,16.56722,15.34285,0.9286055,23.25541,19.01516,0
"2013-01-17 05:30:00",28254,6.705115,2.88383,370.7447,381.9365,-29.09555,-12.6289,0.8449704,3.883819,0.1154376,0.002530893,833.8108,8.765362,100.5256,-0.270191,-0.06416192,-0.007232598,16.35518,15.19811,0.9299274,23.13661,19.012,0
"2013-01-17 06:00:00",28255,29.68755,7.843748,371.663,384.1293,-19.11241,-12.86673,0.4261011,-6.118031,-0.1753314,0.002392089,844.0423,8.205031,100.541,-0.06240774,-0.02593706,-0.004276569,16.40104,15.20088,0.9315438,22.97394,19.00887,0
"2013-01-17 06:30:00",28256,69.66518,18.99927,378.4222,393.7084,4.66232,-12.88579,0.1422848,8.788531,0.1072247,0.002868127,832.9315,9.63058,100.5626,0.07959463,-0.1475617,3.336111E-005,17.59271,16.12118,0.9331819,22.72094,19.00529,0
"2013-01-17 07:00:00",28257,220.7168,43.72026,389.1767,410.4229,84.60316,-12.27024,3.343606,2.319828,-0.0233957,0.001023163,747.2283,13.52276,100.5697,0.05481201,-0.4629853,-0.0002665556,20.57087,18.45705,0.9255815,22.49043,19.00247,0
"2013-01-17 07:30:00",28258,387.1859,84.66656,386.3662,446.4303,156.2739,-10.89042,-10.68325,-17.71244,0.357686,0.00121391,685.6489,15.26418,100.5638,0.152152,-0.3748441,0.01327838,23.35068,22.59496,0.7713001,22.20998,19.00122,0
"2013-01-17 08:00:00",28259,310.5058,62.63102,374.6275,464.3202,128.7036,-8.348658,78.71202,70.28146,-0.3154002,0.005066195,667.079,15.21208,100.5533,0.2582674,0.1573641,0.07804803,25.18054,24.68137,0.6324453,22.51242,19.00213,0
"2013-01-17 08:30:00",28260,381.2259,73.50211,393.2817,477.1816,185.7864,-5.511347,96.48395,42.75739,-0.1581593,0.04476376,664.9433,15.2136,100.549,0.6477617,0.485108,0.0725138,25.78192,24.67986,0.6219698,23.16149,19.00582,0
"2013-01-17 09:00:00",28261,443.5534,86.39168,400.8145,488.2362,230.1093,-2.928809,107.4529,40.47268,-0.2746161,0.01576522,662.2748,15.28319,100.5359,0.3951441,1.325182,0.06470133,26.51152,25.30239,0.594772,23.51134,19.01064,0
"2013-01-17 09:30:00",28262,592.4084,116.2537,394.1624,504.4595,305.9666,-0.3199937,130.113,25.24374,-0.2555605,0.01963427,663.1863,15.24231,100.5385,0.974014,1.532131,0.07091582,27.12669,26.04169,0.5582492,23.83879,19.01693,0
"2013-01-17 10:00:00",28263,667.5622,127.3716,393.3274,523.5675,355.2366,2.242188,196.6054,46.18609,-0.3990315,0.04592473,663.537,15.20565,100.516,0.6653873,0.5052543,0.07231058,27.78557,26.93621,0.5177951,24.13954,19.02345,0
"2013-01-17 10:30:00",28264,972.9378,183.9393,395.1805,555.1893,547.2677,5.543501,221.4975,49.27628,-0.4938562,0.01995066,665.3717,15.10608,100.4914,0.8897665,0.3854355,0.06629547,28.66363,27.95687,0.4807988,24.66677,19.03121,0
"2013-01-17 11:00:00",28265,1041.257,187.3589,399.4691,566.8267,611.0756,10.12546,310.7454,63.94873,-0.6480045,0.05579132,663.749,15.10901,100.4598,0.8909237,0.2577839,0.04224148,29.55711,28.73409,0.4555394,25.50331,19.04406,0
"2013-01-17 11:30:00",28266,1073.845,182.7803,400.1676,572.1726,625.5068,15.1532,323.346,68.63348,-0.6887632,0.1128127,659.6434,14.94991,100.427,1.360051,0.3803879,0.05903541,30.21352,29.20162,0.435207,26.37508,19.05883,0
"2013-01-17 12:00:00",28267,1087.976,183.3748,399.5195,568.9869,621.478,19.85098,371.6192,66.64545,-0.8527088,0.1168092,657.8798,14.70804,100.395,1.809452,2.25025,0.1407408,30.36673,29.20911,0.4255198,27.18633,19.07224,0
"2013-01-17 12:30:00",28268,1093.812,181.6634,401.3347,576.0244,630.2677,23.51055,366.2908,61.38371,-0.6949834,0.06286161,656.0106,14.61339,100.3544,1.50316,1.306958,0.1066786,30.81987,29.81994,0.4050396,27.76919,19.08652,0
"2013-01-17 13:00:00",28269,1078.105,174.6462,401.9033,576.2902,632.7557,26.70983,415.3451,82.01744,-0.8296001,0.1353157,654.9327,14.69384,100.3341,1.514712,0.6641207,0.08074564,31.09672,30.01675,0.4026784,28.44687,19.10024,0
"2013-01-17 13:30:00",28270,1033.833,165.6643,401.8717,570.9429,603.0642,29.38341,397.6083,68.73322,-0.7881556,0.03653025,654.17,14.90346,100.3051,1.553666,1.624444,0.08809817,31.17122,30.05295,0.4080614,29.05173,19.11248,0
"2013-01-17 14:00:00",28271,992.6736,160.8019,399.5739,567.171,568.1998,31.3674,376.2998,56.65909,-0.736913,0.05589896,654.0176,14.93845,100.2662,1.554041,1.304674,0.1103479,31.03312,29.90438,0.413026,29.57456,19.11791,0
"2013-01-17 14:30:00",28272,923.2374,150.0947,398.7042,560.5456,516.8821,32.49304,350.0133,60.12833,-0.7280506,0.1321726,653.6483,14.91233,100.2438,1.464874,1.097933,0.1144478,30.98419,29.93101,0.4111369,29.96402,19.12823,0
"2013-01-17 15:00:00",28273,841.3715,138.6872,397.9019,550.0724,456.7334,32.81694,323.878,52.29279,-0.6467668,0.1251663,652.8304,14.76385,100.2132,1.80449,1.938599,0.1563023,31.23622,30.04317,0.4032216,30.17097,19.13867,0
"2013-01-17 15:30:00",28274,749.4414,125.2911,392.8275,532.5104,403.4834,32.35326,319.7921,48.3979,-0.6130263,0.05790514,654.3745,14.42822,100.1844,1.833359,2.538348,0.1105153,30.67075,29.4753,0.4058355,30.32524,19.14194,0
"2013-01-17 16:00:00",28275,638.8834,108.7309,390.2199,524.2075,332.0347,30.83893,283.413,32.83947,-0.5380433,0.08195309,654.7738,14.38425,100.1693,1.948228,0.4738016,0.09509727,30.40066,29.32782,0.4088329,30.28461,19.14428,0
"2013-01-17 16:30:00",28276,519.5588,90.21706,388.9449,509.72,259.0012,28.83757,234.6507,30.86601,-0.4942192,0.07653648,655.2398,14.53585,100.1668,1.679839,0.6883571,0.07431536,30.08621,28.94472,0.4242582,30.21905,19.14496,0
"2013-01-17 17:00:00",28277,394.926,70.49563,387.1875,493.3458,182.2714,26.41098,194.1096,25.85255,-0.4050527,0.1054584,656.2059,14.90845,100.1736,1.632982,1.179809,0.1085852,29.64272,28.51018,0.4491861,30.08426,19.14424,0
"2013-01-17 17:30:00",28278,276.2152,50.75826,383.5464,476.533,101.2033,23.36885,134.2022,14.67812,-0.2609952,0.0926021,657.6782,15,100.1968,1.614231,1.108963,0.1016981,29.01427,27.8099,0.4738015,29.88989,19.14168,0
"2013-01-17 18:00:00",28279,160.8909,32.64854,380.6422,460.3217,35.90627,19.83193,58.59988,-1.91336,-0.08905546,0.08908657,659.4299,15.33641,100.2421,1.372336,1.081352,0.08315625,28.24521,27.0067,0.5108866,29.61502,19.13806,0
